370000.000 3.0490E-07 5.2794E-09
412553.031 3.1241E-07 5.1931E-09
460000.000 3.2010E-07 5.2869E-09
500000.000 3.2480E-07 5.3646E-09
600000.000 3.3290E-07 5.8269E-09
700000.000 3.3630E-07 6.1140E-09
850000.000 3.3520E-07 5.8904E-09
1000000.00 3.2890E-07 5.1245E-09
1200000.00 3.1520E-07 3.8268E-09
1500000.00 2.8750E-07 3.5543E-09
2000000.00 2.3520E-07 2.7153E-09
2093270.25 2.2515E-07 2.5993E-09
2241394.25 2.1008E-07 2.4016E-09
2400000.00 1.9500E-07 2.2277E-09
2545584.50 1.8135E-07 2.0718E-09
2700000.00 1.6770E-07 2.0430E-09
2846050.00 1.5540E-07 1.8471E-09
3000000.00 1.4310E-07 1.6683E-09
3146426.50 1.3220E-07 1.5413E-09
3300000.00 1.2130E-07 1.4401E-09
3400000.00 1.1456E-07 1.3601E-09
3500000.00 1.0820E-07 1.2846E-09
3600000.00 1.0211E-07 1.2004E-09
3700000.00 9.6360E-08 1.1328E-09
3800000.00 9.0815E-08 1.0676E-09
3900000.00 8.5590E-08 1.0169E-09
4000000.00 8.0589E-08 9.5753E-10
4100000.00 7.5880E-08 9.0158E-10
4200000.00 7.1387E-08 9.4349E-10
4300000.00 6.7160E-08 8.8762E-10
4400000.00 6.3145E-08 8.3456E-10
4500000.00 5.9370E-08 8.1294E-10
4600000.00 5.5787E-08 7.6388E-10
4700000.00 5.2420E-08 7.1778E-10
4800000.00 4.9238E-08 6.6506E-10
4900000.00 4.6250E-08 6.2470E-10
5000000.00 4.3429E-08 5.8659E-10
5100000.00 4.0780E-08 6.1076E-10
5200000.00 3.8273E-08 5.7321E-10
5300000.00 3.5920E-08 5.3797E-10
5400000.00 3.3707E-08 5.0482E-10
5500000.00 3.1630E-08 4.7372E-10
5600000.00 2.9664E-08 4.3726E-10
5700000.00 2.7820E-08 4.1008E-10
5800000.00 2.6086E-08 3.8452E-10
5900000.00 2.4460E-08 3.6055E-10
6000000.00 2.2927E-08 3.3795E-10
6100000.00 2.1490E-08 3.3966E-10
6200000.00 2.0137E-08 3.1828E-10
6300000.00 1.8870E-08 2.9825E-10
6400000.00 1.7672E-08 2.7931E-10
6500000.00 1.6550E-08 2.6158E-10
6600000.00 1.5496E-08 2.5500E-10
6700000.00 1.4510E-08 2.3877E-10
6800000.00 1.3586E-08 2.2356E-10
6900000.00 1.2720E-08 2.0932E-10
7000000.00 1.1904E-08 1.9589E-10
7100000.00 1.1140E-08 1.9970E-10
7200000.00 1.0425E-08 1.8687E-10
7300000.00 9.7550E-09 1.7487E-10
7400000.00 9.1273E-09 1.6362E-10
7500000.00 8.5400E-09 1.5309E-10
7600000.00 7.9898E-09 1.4864E-10
7700000.00 7.4750E-09 1.3906E-10
7800000.00 6.9924E-09 1.3008E-10
7900000.00 6.5410E-09 1.2169E-10
8000000.00 6.1194E-09 1.1384E-10
8100000.00 5.7250E-09 1.1843E-10
8200000.00 5.3561E-09 1.1080E-10
8300000.00 5.0110E-09 1.0366E-10
8400000.00 4.6876E-09 9.6967E-11
8500000.00 4.3850E-09 9.0708E-11
8600000.00 4.1024E-09 8.8494E-11
8700000.00 3.8380E-09 8.2791E-11
8800000.00 3.5911E-09 7.7464E-11
8900000.00 3.3600E-09 7.2480E-11
9000000.00 3.1430E-09 6.7799E-11
9100000.00 2.9400E-09 6.6034E-11
9200000.00 2.7504E-09 6.1775E-11
9300000.00 2.5730E-09 5.7791E-11
9400000.00 2.4072E-09 5.4066E-11
9500000.00 2.2520E-09 5.0581E-11
9600000.00 2.1063E-09 5.1988E-11
9700000.00 1.9700E-09 4.8624E-11
9800000.00 1.8424E-09 4.5474E-11
9900000.00 1.7230E-09 4.2527E-11
10000000.0 1.6109E-09 3.9759E-11
10100000.0 1.5060E-09 4.0496E-11
10200000.0 1.4083E-09 3.7870E-11
10300000.0 1.3170E-09 3.5414E-11
10400000.0 1.2312E-09 3.3107E-11
10500000.0 1.1510E-09 3.0950E-11
10600000.0 1.0766E-09 3.1163E-11
10700000.0 1.0070E-09 2.9149E-11
10800000.0 9.4147E-10 2.7252E-11
10900000.0 8.8020E-10 2.5478E-11
11000000.0 8.2310E-10 2.3826E-11
11100000.0 7.6970E-10 2.2557E-11
11200000.0 7.1967E-10 2.1091E-11
11300000.0 6.7290E-10 1.9721E-11
11400000.0 6.2918E-10 1.8439E-11
11500000.0 5.8830E-10 1.7241E-11
11600000.0 5.5000E-10 1.8884E-11
11700000.0 5.1420E-10 1.7655E-11
11800000.0 4.8071E-10 1.6505E-11
11900000.0 4.4940E-10 1.5430E-11
12000000.0 4.2009E-10 1.4424E-11
12100000.0 3.9270E-10 1.4079E-11
12200000.0 3.6701E-10 1.3158E-11
12300000.0 3.4300E-10 1.2297E-11
12400000.0 3.2057E-10 1.1493E-11
12500000.0 2.9960E-10 1.0741E-11
12600000.0 2.8001E-10 1.4105E-11
12700000.0 2.6170E-10 1.3183E-11
12800000.0 2.4448E-10 1.2316E-11
12900000.0 2.2840E-10 1.1505E-11
13000000.0 2.1341E-10 1.0750E-11
13100000.0 1.9940E-10 8.9038E-12
13200000.0 1.8620E-10 8.3144E-12
13300000.0 1.7395E-10 7.7673E-12
13400000.0 1.6250E-10 7.2561E-12
13500000.0 1.5170E-10 6.7739E-12
13600000.0 1.4167E-10 8.8702E-12
13700000.0 1.3230E-10 8.2836E-12
13800000.0 1.2356E-10 7.7365E-12
13900000.0 1.1540E-10 7.2255E-12
14000000.0 1.0780E-10 6.7496E-12
14100000.0 1.0070E-10 9.6718E-12
14200000.0 9.3990E-11 9.0273E-12
14400000.0 8.1950E-11 7.8710E-12
14600000.0 7.1450E-11 6.8625E-12
15300000.0 4.4200E-11 5.3824E-12
16000000.0 2.7330E-11 3.9554E-12
16700000.0 1.6880E-11 2.4430E-12
17400000.0 1.0420E-11 1.9848E-12
18100000.0 6.4220E-12 2.0401E-12
18800000.0 3.9500E-12 1.2548E-12
19500000.0 2.4270E-12 1.8382E-12
20000000.0 1.7130E-12 1.2974E-12
30000000.0 1.6120E-15 1.6794E-16
